topic,course,current_url,isbns,tocs
quantum+mechanics,8-04-quantum-physics-i-spring-2013,http://ocw.mit.edu/courses/physics/8-04-quantum-physics-i-spring-2013/,"9780471873730,9780805387148,9780471429456,9780306447907,9780198520115,9780201500646,9780674741133",
quantum+mechanics,8-06-quantum-physics-iii-spring-2005,http://ocw.mit.edu/courses/physics/8-06-quantum-physics-iii-spring-2005/,"9780131118928,9780471164326,9780201539295,9780306447907,9780137127955","Table of Contents</h3>
                <div class=""simple-html""><p><b>1. The Origins of Quantum Mechanics.</b></p>
<p><b>2. The Free Particle in Wave Mechanics.</b></p>
<p><b>3. Particles in Potentials.</b></p>
<p><b>4. Axiomatic Formulation of Quantum Mechanics.</b></p>
<p><b>5. The Evolution of the States in Time.</b></p>
<p><b>6. The Factorization Method.</b></p>
<p><b>7. The Particle in Three Dimensions and Angular Momentum.</b></p>
<p><b>8. Central Potentials.</b></p>
<p><b>9. Spin and the Exclusion Principle.</b></p>
<p><b>10. Perturbation Theory.</b></p>
<p><b>11. Scattering and Resonances.</b></p>
<p><b>12. The Interpretation of Quantum Mechanics.</b></p>
<p><b>Appendices.</b><br>
</p>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><table>
<tr>
<td width=""20%""></td>
<td width=""70%"">Foreword</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Preface</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">In Memoriam</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%"">1</td>
<td width=""70%"">Fundamental Concepts</td>
<td width=""10%"" align=""right"">1</td>
</tr>
<tr>
<td width=""20%"">2</td>
<td width=""70%"">Quantum Dynamics</td>
<td width=""10%"" align=""right"">68</td>
</tr>
<tr>
<td width=""20%"">3</td>
<td width=""70%"">Theory of Angular Momentum</td>
<td width=""10%"" align=""right"">152</td>
</tr>
<tr>
<td width=""20%"">4</td>
<td width=""70%"">Symmetry in Quantum Mechanics</td>
<td width=""10%"" align=""right"">248</td>
</tr>
<tr>
<td width=""20%"">5</td>
<td width=""70%"">Approximation Methods</td>
<td width=""10%"" align=""right"">285</td>
</tr>
<tr>
<td width=""20%"">6</td>
<td width=""70%"">Identical Particles</td>
<td width=""10%"" align=""right"">357</td>
</tr>
<tr>
<td width=""20%"">7</td>
<td width=""70%"">Scattering Theory</td>
<td width=""10%"" align=""right"">379</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix A</td>
<td width=""10%"" align=""right"">446</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix B</td>
<td width=""10%"" align=""right"">456</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix C</td>
<td width=""10%"" align=""right"">458</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Supplement I: Adiabatic Change and Geometrical Phase</td>
<td width=""10%"" align=""right"">464</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Supplement II: Non-Exponential Decays</td>
<td width=""10%"" align=""right"">481</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Bibliography</td>
<td width=""10%"" align=""right"">487</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Index</td>
<td width=""10%"" align=""right"">491</td>
</tr>
</table>

</div>
              
    </div>"
quantum+mechanics,8-05-quantum-physics-ii-fall-2013,http://ocw.mit.edu/courses/physics/8-05-quantum-physics-ii-fall-2013/,"9780131118928,9780306447907,9780471164326,9780201021158,9780137127955,9780201539295,9780387982595",",Table of Contents</h3>
                <div class=""simple-html""><p><b>1. The Origins of Quantum Mechanics.</b></p>
<p><b>2. The Free Particle in Wave Mechanics.</b></p>
<p><b>3. Particles in Potentials.</b></p>
<p><b>4. Axiomatic Formulation of Quantum Mechanics.</b></p>
<p><b>5. The Evolution of the States in Time.</b></p>
<p><b>6. The Factorization Method.</b></p>
<p><b>7. The Particle in Three Dimensions and Angular Momentum.</b></p>
<p><b>8. Central Potentials.</b></p>
<p><b>9. Spin and the Exclusion Principle.</b></p>
<p><b>10. Perturbation Theory.</b></p>
<p><b>11. Scattering and Resonances.</b></p>
<p><b>12. The Interpretation of Quantum Mechanics.</b></p>
<p><b>Appendices.</b><br>
</p>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><p>1: Vector Spaces<br>
2: Finite-Dimensional Vector Spaces<br>
3: Linear Maps<br>
4: Polynomials<br>
5: Eigenvalues and Eigenvectors<br>
6: Inner-Product Spaces<br>
7: Operators on Inner-Product Spaces<br>
8: Operators on Complex Vector Spaces<br>
9: Operators on Real Vector Spaces<br>
10: Trace and Determinant</p>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><table>
<tr>
<td width=""20%""></td>
<td width=""70%"">Foreword</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Preface</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">In Memoriam</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%"">1</td>
<td width=""70%"">Fundamental Concepts</td>
<td width=""10%"" align=""right"">1</td>
</tr>
<tr>
<td width=""20%"">2</td>
<td width=""70%"">Quantum Dynamics</td>
<td width=""10%"" align=""right"">68</td>
</tr>
<tr>
<td width=""20%"">3</td>
<td width=""70%"">Theory of Angular Momentum</td>
<td width=""10%"" align=""right"">152</td>
</tr>
<tr>
<td width=""20%"">4</td>
<td width=""70%"">Symmetry in Quantum Mechanics</td>
<td width=""10%"" align=""right"">248</td>
</tr>
<tr>
<td width=""20%"">5</td>
<td width=""70%"">Approximation Methods</td>
<td width=""10%"" align=""right"">285</td>
</tr>
<tr>
<td width=""20%"">6</td>
<td width=""70%"">Identical Particles</td>
<td width=""10%"" align=""right"">357</td>
</tr>
<tr>
<td width=""20%"">7</td>
<td width=""70%"">Scattering Theory</td>
<td width=""10%"" align=""right"">379</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix A</td>
<td width=""10%"" align=""right"">446</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix B</td>
<td width=""10%"" align=""right"">456</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix C</td>
<td width=""10%"" align=""right"">458</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Supplement I: Adiabatic Change and Geometrical Phase</td>
<td width=""10%"" align=""right"">464</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Supplement II: Non-Exponential Decays</td>
<td width=""10%"" align=""right"">481</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Bibliography</td>
<td width=""10%"" align=""right"">487</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Index</td>
<td width=""10%"" align=""right"">491</td>
</tr>
</table>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><p><b>I. THEORY.</b></p>
<p><b>1. The Wave Function.</b></p>
<p><b>2. The Time-Independent Schrodinger Equation.</b></p>
<p><b>3. Formalism.</b></p>
<p><b>4. Quantum Mechanics in Three Dimensions.</b></p>
<p><b>5. Identical Particles.</b></p>
<p><b>II. APPLICATIONS.</b></p>
<p><b>6. Time-Independent Perturbation Theory.</b></p>
<p><b>7. The Variational Principles.</b></p>
<p><b>8. The WKB Approximation.</b></p>
<p><b>9. Time-Dependent Perturbation Theory.</b></p>
<p><b>10. The Adiabatic Approximation.</b></p>
<p><b>11. Scattering.</b></p>
<p><b>Afterword.</b></p>
<p><b>Index.</b><br>
</p>

</div>
              
    </div>"
quantum+mechanics,8-04-quantum-physics-i-spring-2013,http://ocw.mit.edu/courses/physics/8-04-quantum-physics-i-spring-2013/,"9780471873730,9780805387148,9780471429456,9780306447907,9780198520115,9780201500646,9780674741133",
quantum+mechanics,8-06-quantum-physics-iii-spring-2005,http://ocw.mit.edu/courses/physics/8-06-quantum-physics-iii-spring-2005/,"9780131118928,9780471164326,9780201539295,9780306447907,9780137127955","Table of Contents</h3>
                <div class=""simple-html""><p><b>1. The Origins of Quantum Mechanics.</b></p>
<p><b>2. The Free Particle in Wave Mechanics.</b></p>
<p><b>3. Particles in Potentials.</b></p>
<p><b>4. Axiomatic Formulation of Quantum Mechanics.</b></p>
<p><b>5. The Evolution of the States in Time.</b></p>
<p><b>6. The Factorization Method.</b></p>
<p><b>7. The Particle in Three Dimensions and Angular Momentum.</b></p>
<p><b>8. Central Potentials.</b></p>
<p><b>9. Spin and the Exclusion Principle.</b></p>
<p><b>10. Perturbation Theory.</b></p>
<p><b>11. Scattering and Resonances.</b></p>
<p><b>12. The Interpretation of Quantum Mechanics.</b></p>
<p><b>Appendices.</b><br>
</p>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><table>
<tr>
<td width=""20%""></td>
<td width=""70%"">Foreword</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Preface</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">In Memoriam</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%"">1</td>
<td width=""70%"">Fundamental Concepts</td>
<td width=""10%"" align=""right"">1</td>
</tr>
<tr>
<td width=""20%"">2</td>
<td width=""70%"">Quantum Dynamics</td>
<td width=""10%"" align=""right"">68</td>
</tr>
<tr>
<td width=""20%"">3</td>
<td width=""70%"">Theory of Angular Momentum</td>
<td width=""10%"" align=""right"">152</td>
</tr>
<tr>
<td width=""20%"">4</td>
<td width=""70%"">Symmetry in Quantum Mechanics</td>
<td width=""10%"" align=""right"">248</td>
</tr>
<tr>
<td width=""20%"">5</td>
<td width=""70%"">Approximation Methods</td>
<td width=""10%"" align=""right"">285</td>
</tr>
<tr>
<td width=""20%"">6</td>
<td width=""70%"">Identical Particles</td>
<td width=""10%"" align=""right"">357</td>
</tr>
<tr>
<td width=""20%"">7</td>
<td width=""70%"">Scattering Theory</td>
<td width=""10%"" align=""right"">379</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix A</td>
<td width=""10%"" align=""right"">446</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix B</td>
<td width=""10%"" align=""right"">456</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix C</td>
<td width=""10%"" align=""right"">458</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Supplement I: Adiabatic Change and Geometrical Phase</td>
<td width=""10%"" align=""right"">464</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Supplement II: Non-Exponential Decays</td>
<td width=""10%"" align=""right"">481</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Bibliography</td>
<td width=""10%"" align=""right"">487</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Index</td>
<td width=""10%"" align=""right"">491</td>
</tr>
</table>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><p><b>I. THEORY.</b></p>
<p><b>1. The Wave Function.</b></p>
<p><b>2. The Time-Independent Schrodinger Equation.</b></p>
<p><b>3. Formalism.</b></p>
<p><b>4. Quantum Mechanics in Three Dimensions.</b></p>
<p><b>5. Identical Particles.</b></p>
<p><b>II. APPLICATIONS.</b></p>
<p><b>6. Time-Independent Perturbation Theory.</b></p>
<p><b>7. The Variational Principles.</b></p>
<p><b>8. The WKB Approximation.</b></p>
<p><b>9. Time-Dependent Perturbation Theory.</b></p>
<p><b>10. The Adiabatic Approximation.</b></p>
<p><b>11. Scattering.</b></p>
<p><b>Afterword.</b></p>
<p><b>Index.</b><br>
</p>

</div>
              
    </div>"
quantum+mechanics,8-05-quantum-physics-ii-fall-2013,http://ocw.mit.edu/courses/physics/8-05-quantum-physics-ii-fall-2013/,"9780131118928,9780306447907,9780471164326,9780201021158,9780137127955,9780201539295,9780387982595",",Table of Contents</h3>
                <div class=""simple-html""><p><b>1. The Origins of Quantum Mechanics.</b></p>
<p><b>2. The Free Particle in Wave Mechanics.</b></p>
<p><b>3. Particles in Potentials.</b></p>
<p><b>4. Axiomatic Formulation of Quantum Mechanics.</b></p>
<p><b>5. The Evolution of the States in Time.</b></p>
<p><b>6. The Factorization Method.</b></p>
<p><b>7. The Particle in Three Dimensions and Angular Momentum.</b></p>
<p><b>8. Central Potentials.</b></p>
<p><b>9. Spin and the Exclusion Principle.</b></p>
<p><b>10. Perturbation Theory.</b></p>
<p><b>11. Scattering and Resonances.</b></p>
<p><b>12. The Interpretation of Quantum Mechanics.</b></p>
<p><b>Appendices.</b><br>
</p>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><p>1: Vector Spaces<br>
2: Finite-Dimensional Vector Spaces<br>
3: Linear Maps<br>
4: Polynomials<br>
5: Eigenvalues and Eigenvectors<br>
6: Inner-Product Spaces<br>
7: Operators on Inner-Product Spaces<br>
8: Operators on Complex Vector Spaces<br>
9: Operators on Real Vector Spaces<br>
10: Trace and Determinant</p>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><table>
<tr>
<td width=""20%""></td>
<td width=""70%"">Foreword</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Preface</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">In Memoriam</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%"">1</td>
<td width=""70%"">Fundamental Concepts</td>
<td width=""10%"" align=""right"">1</td>
</tr>
<tr>
<td width=""20%"">2</td>
<td width=""70%"">Quantum Dynamics</td>
<td width=""10%"" align=""right"">68</td>
</tr>
<tr>
<td width=""20%"">3</td>
<td width=""70%"">Theory of Angular Momentum</td>
<td width=""10%"" align=""right"">152</td>
</tr>
<tr>
<td width=""20%"">4</td>
<td width=""70%"">Symmetry in Quantum Mechanics</td>
<td width=""10%"" align=""right"">248</td>
</tr>
<tr>
<td width=""20%"">5</td>
<td width=""70%"">Approximation Methods</td>
<td width=""10%"" align=""right"">285</td>
</tr>
<tr>
<td width=""20%"">6</td>
<td width=""70%"">Identical Particles</td>
<td width=""10%"" align=""right"">357</td>
</tr>
<tr>
<td width=""20%"">7</td>
<td width=""70%"">Scattering Theory</td>
<td width=""10%"" align=""right"">379</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix A</td>
<td width=""10%"" align=""right"">446</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix B</td>
<td width=""10%"" align=""right"">456</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix C</td>
<td width=""10%"" align=""right"">458</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Supplement I: Adiabatic Change and Geometrical Phase</td>
<td width=""10%"" align=""right"">464</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Supplement II: Non-Exponential Decays</td>
<td width=""10%"" align=""right"">481</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Bibliography</td>
<td width=""10%"" align=""right"">487</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Index</td>
<td width=""10%"" align=""right"">491</td>
</tr>
</table>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><p><b>I. THEORY.</b></p>
<p><b>1. The Wave Function.</b></p>
<p><b>2. The Time-Independent Schrodinger Equation.</b></p>
<p><b>3. Formalism.</b></p>
<p><b>4. Quantum Mechanics in Three Dimensions.</b></p>
<p><b>5. Identical Particles.</b></p>
<p><b>II. APPLICATIONS.</b></p>
<p><b>6. Time-Independent Perturbation Theory.</b></p>
<p><b>7. The Variational Principles.</b></p>
<p><b>8. The WKB Approximation.</b></p>
<p><b>9. Time-Dependent Perturbation Theory.</b></p>
<p><b>10. The Adiabatic Approximation.</b></p>
<p><b>11. Scattering.</b></p>
<p><b>Afterword.</b></p>
<p><b>Index.</b><br>
</p>

</div>
              
    </div>"
quantum+mechanics,8-04-quantum-physics-i-spring-2013,http://ocw.mit.edu/courses/physics/8-04-quantum-physics-i-spring-2013/,"9780471873730,9780805387148,9780471429456,9780306447907,9780198520115,9780201500646,9780674741133","Table of Contents</h3>
                <div class=""simple-html""><p>1. The Principles of Superposition<br>
2. Dynamical Variables and Observables<br>
3. Representations<br>
4. The Quantum Conditions<br>
5. The Equations of Motion<br>
6. Elementary Applications<br>
7. Perturbation Theory<br>
8. Collision Problems<br>
9. Systems Containing Several Similar Particles<br>
10. Theory of Radiation<br>
11. Relatvistic Theory of the Electron<br>
12. Quantum Electrodynamics Index<br>
</p>

</div>
              
    </div>"
quantum+mechanics,8-06-quantum-physics-iii-spring-2005,http://ocw.mit.edu/courses/physics/8-06-quantum-physics-iii-spring-2005/,"9780131118928,9780471164326,9780201539295,9780306447907,9780137127955","Table of Contents</h3>
                <div class=""simple-html""><p><b>1. The Origins of Quantum Mechanics.</b></p>
<p><b>2. The Free Particle in Wave Mechanics.</b></p>
<p><b>3. Particles in Potentials.</b></p>
<p><b>4. Axiomatic Formulation of Quantum Mechanics.</b></p>
<p><b>5. The Evolution of the States in Time.</b></p>
<p><b>6. The Factorization Method.</b></p>
<p><b>7. The Particle in Three Dimensions and Angular Momentum.</b></p>
<p><b>8. Central Potentials.</b></p>
<p><b>9. Spin and the Exclusion Principle.</b></p>
<p><b>10. Perturbation Theory.</b></p>
<p><b>11. Scattering and Resonances.</b></p>
<p><b>12. The Interpretation of Quantum Mechanics.</b></p>
<p><b>Appendices.</b><br>
</p>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><table>
<tr>
<td width=""20%""></td>
<td width=""70%"">Foreword</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Preface</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">In Memoriam</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%"">1</td>
<td width=""70%"">Fundamental Concepts</td>
<td width=""10%"" align=""right"">1</td>
</tr>
<tr>
<td width=""20%"">2</td>
<td width=""70%"">Quantum Dynamics</td>
<td width=""10%"" align=""right"">68</td>
</tr>
<tr>
<td width=""20%"">3</td>
<td width=""70%"">Theory of Angular Momentum</td>
<td width=""10%"" align=""right"">152</td>
</tr>
<tr>
<td width=""20%"">4</td>
<td width=""70%"">Symmetry in Quantum Mechanics</td>
<td width=""10%"" align=""right"">248</td>
</tr>
<tr>
<td width=""20%"">5</td>
<td width=""70%"">Approximation Methods</td>
<td width=""10%"" align=""right"">285</td>
</tr>
<tr>
<td width=""20%"">6</td>
<td width=""70%"">Identical Particles</td>
<td width=""10%"" align=""right"">357</td>
</tr>
<tr>
<td width=""20%"">7</td>
<td width=""70%"">Scattering Theory</td>
<td width=""10%"" align=""right"">379</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix A</td>
<td width=""10%"" align=""right"">446</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix B</td>
<td width=""10%"" align=""right"">456</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix C</td>
<td width=""10%"" align=""right"">458</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Supplement I: Adiabatic Change and Geometrical Phase</td>
<td width=""10%"" align=""right"">464</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Supplement II: Non-Exponential Decays</td>
<td width=""10%"" align=""right"">481</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Bibliography</td>
<td width=""10%"" align=""right"">487</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Index</td>
<td width=""10%"" align=""right"">491</td>
</tr>
</table>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><p><b>I. THEORY.</b></p>
<p><b>1. The Wave Function.</b></p>
<p><b>2. The Time-Independent Schrodinger Equation.</b></p>
<p><b>3. Formalism.</b></p>
<p><b>4. Quantum Mechanics in Three Dimensions.</b></p>
<p><b>5. Identical Particles.</b></p>
<p><b>II. APPLICATIONS.</b></p>
<p><b>6. Time-Independent Perturbation Theory.</b></p>
<p><b>7. The Variational Principles.</b></p>
<p><b>8. The WKB Approximation.</b></p>
<p><b>9. Time-Dependent Perturbation Theory.</b></p>
<p><b>10. The Adiabatic Approximation.</b></p>
<p><b>11. Scattering.</b></p>
<p><b>Afterword.</b></p>
<p><b>Index.</b><br>
</p>

</div>
              
    </div>"
quantum+mechanics,8-05-quantum-physics-ii-fall-2013,http://ocw.mit.edu/courses/physics/8-05-quantum-physics-ii-fall-2013/,"9780131118928,9780306447907,9780471164326,9780201021158,9780137127955,9780201539295,9780387982595",",Table of Contents</h3>
                <div class=""simple-html""><p><b>1. The Origins of Quantum Mechanics.</b></p>
<p><b>2. The Free Particle in Wave Mechanics.</b></p>
<p><b>3. Particles in Potentials.</b></p>
<p><b>4. Axiomatic Formulation of Quantum Mechanics.</b></p>
<p><b>5. The Evolution of the States in Time.</b></p>
<p><b>6. The Factorization Method.</b></p>
<p><b>7. The Particle in Three Dimensions and Angular Momentum.</b></p>
<p><b>8. Central Potentials.</b></p>
<p><b>9. Spin and the Exclusion Principle.</b></p>
<p><b>10. Perturbation Theory.</b></p>
<p><b>11. Scattering and Resonances.</b></p>
<p><b>12. The Interpretation of Quantum Mechanics.</b></p>
<p><b>Appendices.</b><br>
</p>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><p>1: Vector Spaces<br>
2: Finite-Dimensional Vector Spaces<br>
3: Linear Maps<br>
4: Polynomials<br>
5: Eigenvalues and Eigenvectors<br>
6: Inner-Product Spaces<br>
7: Operators on Inner-Product Spaces<br>
8: Operators on Complex Vector Spaces<br>
9: Operators on Real Vector Spaces<br>
10: Trace and Determinant</p>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><table>
<tr>
<td width=""20%""></td>
<td width=""70%"">Foreword</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Preface</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">In Memoriam</td>
<td width=""10%"" align=""right""></td>
</tr>
<tr>
<td width=""20%"">1</td>
<td width=""70%"">Fundamental Concepts</td>
<td width=""10%"" align=""right"">1</td>
</tr>
<tr>
<td width=""20%"">2</td>
<td width=""70%"">Quantum Dynamics</td>
<td width=""10%"" align=""right"">68</td>
</tr>
<tr>
<td width=""20%"">3</td>
<td width=""70%"">Theory of Angular Momentum</td>
<td width=""10%"" align=""right"">152</td>
</tr>
<tr>
<td width=""20%"">4</td>
<td width=""70%"">Symmetry in Quantum Mechanics</td>
<td width=""10%"" align=""right"">248</td>
</tr>
<tr>
<td width=""20%"">5</td>
<td width=""70%"">Approximation Methods</td>
<td width=""10%"" align=""right"">285</td>
</tr>
<tr>
<td width=""20%"">6</td>
<td width=""70%"">Identical Particles</td>
<td width=""10%"" align=""right"">357</td>
</tr>
<tr>
<td width=""20%"">7</td>
<td width=""70%"">Scattering Theory</td>
<td width=""10%"" align=""right"">379</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix A</td>
<td width=""10%"" align=""right"">446</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix B</td>
<td width=""10%"" align=""right"">456</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Appendix C</td>
<td width=""10%"" align=""right"">458</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Supplement I: Adiabatic Change and Geometrical Phase</td>
<td width=""10%"" align=""right"">464</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Supplement II: Non-Exponential Decays</td>
<td width=""10%"" align=""right"">481</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Bibliography</td>
<td width=""10%"" align=""right"">487</td>
</tr>
<tr>
<td width=""20%""></td>
<td width=""70%"">Index</td>
<td width=""10%"" align=""right"">491</td>
</tr>
</table>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html""><p><b>I. THEORY.</b></p>
<p><b>1. The Wave Function.</b></p>
<p><b>2. The Time-Independent Schrodinger Equation.</b></p>
<p><b>3. Formalism.</b></p>
<p><b>4. Quantum Mechanics in Three Dimensions.</b></p>
<p><b>5. Identical Particles.</b></p>
<p><b>II. APPLICATIONS.</b></p>
<p><b>6. Time-Independent Perturbation Theory.</b></p>
<p><b>7. The Variational Principles.</b></p>
<p><b>8. The WKB Approximation.</b></p>
<p><b>9. Time-Dependent Perturbation Theory.</b></p>
<p><b>10. The Adiabatic Approximation.</b></p>
<p><b>11. Scattering.</b></p>
<p><b>Afterword.</b></p>
<p><b>Index.</b><br>
</p>

</div>
              
    </div>,Table of Contents</h3>
                <div class=""simple-html"">An Elementary Approach to the Quantum Theory of Scattering by a Potential Electron Spin.<br>
Addition of Angular Momenta.<br>
Stationary Perturbation Theory.<br>
An Application of Perturbation Theory.<br>
The Fine and Hyperfine Structure of the Hydrogen Atom.<br>
Approximation Methods for Time-Dependent Problems.<br>
Systems of Identical Particles.<br>
APPENDIXES: Fourier Series and the Fourier Transform.<br>
The Dirac δ `` Function''.<br>
The Lagrangian and Hamiltonian in Classical Mechanics.<br>
INDEX.
</div>
              
    </div>"
quantum+mechanics,8-04-quantum-physics-i-spring-2013,http://ocw.mit.edu/courses/physics/8-04-quantum-physics-i-spring-2013/,"9780471873730,9780805387148,9780471429456,9780306447907,9780198520115,9780201500646,9780674741133","Table of Contents</h3>
                <div class=""simple-html""><p>1. The Principles of Superposition<br>
2. Dynamical Variables and Observables<br>
3. Representations<br>
4. The Quantum Conditions<br>
5. The Equations of Motion<br>
6. Elementary Applications<br>
7. Perturbation Theory<br>
8. Collision Problems<br>
9. Systems Containing Several Similar Particles<br>
10. Theory of Radiation<br>
11. Relatvistic Theory of the Electron<br>
12. Quantum Electrodynamics Index<br>
</p>

</div>
              
    </div>"
